index	mean
0	30.660941580433846
1	30.948004714365098
2	34.35165008732531
3	35.08080045909524
4	35.42192279366512
5	38.437588520194055
6	38.51072526720203
7	38.67118938122497
8	38.80003527005026
9	38.72817302980016
10	38.807761121513984
11	38.79829504273923
12	38.74914875008376
13	38.77302542658844
14	38.686068189413376
15	38.573023889342544
16	38.57511811623723
17	38.67772051115808
18	38.56243886876456
19	38.6140430227494
20	38.54411175820984
21	38.54764536689783
22	38.59649103054908
23	38.591510137324775
24	38.57631272951108
25	38.58947642595525
26	38.57056462067537
27	38.589685578002836
28	38.59088441329008
29	38.567704260736825
30	38.492098177183614
31	38.22894744448567
32	38.252965504310296
33	38.12674603257944
34	38.08910948968957
35	38.02220779039414
36	37.98537754380366
37	37.981344546712194
38	37.91461584170871
39	38.11084105862547
40	38.22402511816495
41	38.30544534717345
42	38.24223303803417
43	38.35743619428147
44	38.34944002570448
45	38.31358300732714
46	38.33626983385511
47	38.282755489456385
48	38.26862765836637
49	38.22576653630028
50	38.304768092924135
51	38.32646058117205
52	38.31622880238044
53	38.10887782240241
54	38.13640426709149
55	38.21263326000382
56	38.225969301199406
57	38.15650429849678
58	38.12395820466567
59	38.06089983662973
60	38.03902969904947
61	38.07783303322757
62	38.08577106792797
63	38.00771210285604
64	38.04057149173151
65	37.97231863989679
66	38.037677680456156
67	37.93044763409737
68	37.88583480950438
69	37.93483582159677
70	37.92982667335982
71	37.86422697803763
72	37.808413368453266
73	37.80562272586391
74	37.806702586979156
75	37.683969957018824
76	36.69420736516161
77	37.121414170960584
78	37.5555091374654
79	37.606546459089394
80	37.72403448237412
81	37.72551077972035
82	37.74681603356132
83	37.655576483991695
84	37.55832944240519
85	37.55969488483593
86	37.494431759760076
87	37.50131678102008
88	37.46822269150322
89	37.39420841525212
90	37.355588143244034
91	37.268269978053105
92	37.23853823504035
93	37.19701765635171
94	37.01417535580477
95	37.029093894221674
96	37.032085353088604
97	36.955569046752736
98	36.70719265447616
99	36.790486699629405
100	34.769966632020896
avg	37.775734626871916
