index	mean
0	30.635585238452727
1	30.593935776586434
2	33.8613322770609
3	34.088480993014066
4	35.208402387585686
5	38.150048387291235
6	38.36311982494077
7	38.34945026307444
8	38.567615722722735
9	38.27291018502429
10	38.4211536030198
11	38.69383415719117
12	38.51817385511156
13	38.65908777926944
14	38.509441799031634
15	38.27355118251593
16	38.38784175425583
17	38.5080412278083
18	38.39747795416608
19	38.363935700264044
20	38.11882025047682
21	38.27335197000818
22	38.53987043112308
23	38.55935586997186
24	38.527271926842886
25	38.425770112305635
26	38.436118654553454
27	38.4999795920557
28	38.4036151594856
29	38.40242032688771
30	38.20811324738842
31	37.79004351150704
32	37.690551409381484
33	37.48574258978694
34	37.39315357160594
35	37.366583644863276
36	37.36001250802353
37	37.40818499043813
38	37.423137432185065
39	37.98893347419424
40	38.257262213988746
41	38.43532965798608
42	38.43129950378277
43	38.5838472835367
44	38.58845184670879
45	38.56112455847772
46	38.59092225878446
47	38.545567178804674
48	38.531248765983044
49	38.48896195682652
50	38.56919637054942
51	38.596558391000066
52	38.58918631147921
53	38.38501008285183
54	38.416354362438675
55	38.49248163589196
56	38.51043410075684
57	38.44190112666232
58	38.406923016256556
59	38.34502301120158
60	38.3275695178095
61	38.36978022579704
62	38.38599386744039
63	38.303270790634734
64	38.33801694733213
65	38.26370360275986
66	38.329682652594734
67	38.229002465213306
68	38.19136734001084
69	38.239303333618345
70	38.23569870441078
71	38.173364546611246
72	38.12181750829066
73	38.118954533644185
74	38.11958756706001
75	38.00495022618529
76	37.09757386597367
77	37.48602962835308
78	37.90367959107125
79	37.98509467903502
80	38.10552356221608
81	38.10803113997892
82	38.1370484714671
83	38.048568142126015
84	37.960136371525024
85	37.96807920981325
86	37.905380031871786
87	37.91962367087041
88	37.88940110924091
89	37.82593384043111
90	37.7948154308836
91	37.70648829938996
92	37.681713276236074
93	37.642138124285374
94	37.458829986559515
95	37.48303557829201
96	37.49454610132494
97	37.42438945127186
98	37.173515200378915
99	37.2589690702948
100	35.28562339411877
avg	37.85532441021646
