index	mean
0	31.21493514200445
1	31.371131132158638
2	35.03180309884402
3	35.876545431678906
4	36.127062515893584
5	39.584414945163466
6	39.66439307050187
7	39.643412487029345
8	39.9804883460683
9	40.07214235962515
10	40.12828721377581
11	40.15023487940011
12	40.09795182773881
13	40.089570633443785
14	40.103875772805715
15	40.09107506948933
16	40.016044294419935
17	40.041005920294864
18	40.04730616794444
19	40.04375407951488
20	40.01851691873888
21	40.08221204860697
22	40.009212665933454
23	40.0601545451036
24	40.01826416994364
25	39.99763057683027
26	39.94512165512963
27	39.96443044635216
28	39.90796160917249
29	39.95903920946814
30	39.86775508298844
31	39.917357559462054
32	39.904636165067416
33	39.946269035109076
34	39.96383325127754
35	39.95500872342833
36	39.94578466444196
37	39.924026588067136
38	39.935572285768295
39	39.92422723853303
40	39.91083144177315
41	39.890857982055834
42	39.87930221864773
43	39.88463095965897
44	39.80721660306283
45	39.847076470724225
46	39.85607521273208
47	39.85396539631177
48	39.85091935853351
49	39.84596548214681
50	39.84692482144708
51	39.83984332008163
52	39.764793077271335
53	39.79322515979863
54	39.80453470052918
55	39.799519876839994
56	39.75147382412909
57	39.76891780487505
58	39.75974849890997
59	39.751323170361424
60	39.73254642364879
61	39.7291527318384
62	39.68262438863274
63	39.69940038251899
64	39.6897055581617
65	39.681676331773225
66	39.671115082333614
67	39.661289293173894
68	39.64800067960114
69	39.560780112198344
70	39.57933364356359
71	39.57596163173737
72	39.56996070060418
73	39.551357614989364
74	39.52494066486981
75	39.49113006585738
76	38.80884990227968
77	39.18804322325174
78	39.29511966964129
79	39.34154602843153
80	39.42814960118231
81	39.43793368955612
82	39.41600648718221
83	39.39965491217007
84	39.38563902361758
85	39.375418570255924
86	39.33790644578007
87	39.198003074354496
88	39.2400373559401
89	39.24395877838599
90	39.232177919223695
91	39.19016144619653
92	39.154011510523034
93	39.09944752542338
94	39.07610238571634
95	39.08098735072473
96	39.066116983203656
97	38.84485117520447
98	38.89724716188544
99	38.978248007294205
100	37.83328899629084
avg	39.383440363726
