index	mean
0	31.416061448265342
1	31.686432148618334
2	35.772793865392906
3	36.04317051986733
4	36.134683850766336
5	39.657914396838294
6	39.8411332143736
7	39.67027688505049
8	40.04840440912436
9	40.07594178774553
10	40.129581493464705
11	40.16093178319766
12	40.10459009717018
13	40.1179874116882
14	40.123448315357116
15	40.110404026111965
16	40.030764404183515
17	40.05651717022476
18	40.06046399494051
19	40.05760136161014
20	40.03932415741874
21	40.0952520861347
22	40.022038693345316
23	40.069976624119235
24	40.02476643876094
25	40.0017135961497
26	39.95313348631456
27	39.97745379899471
28	39.91776784534094
29	39.96302533890047
30	39.8736853705829
31	39.926624763364266
32	39.9146918379496
33	39.95007295963896
34	39.96305824895351
35	39.9609520055592
36	39.94669210123003
37	39.92398037564877
38	39.931685008788826
39	39.922360962874535
40	39.90538846907521
41	39.87721107652789
42	39.82842582014504
43	39.84629825233545
44	39.78194567481252
45	39.823168872199545
46	39.83337098864073
47	39.83187650415993
48	39.823632535874395
49	39.81906431739408
50	39.82033070489545
51	39.81082392158141
52	39.73004771199893
53	39.76288783117229
54	39.764060251811706
55	39.76245599498295
56	39.71292322571782
57	39.728280853526556
58	39.71488970964348
59	39.70492229384369
60	39.68836972799083
61	39.68031131178064
62	39.628873007142026
63	39.642385723359176
64	39.630963445050334
65	39.61587039674693
66	39.6073169224034
67	39.596272243650446
68	39.58017825340502
69	39.483885928126824
70	39.50003263941115
71	39.497202483106804
72	39.48454553652534
73	39.461378050012236
74	39.43454953661238
75	39.35050657123906
76	38.51536655899089
77	38.975097482500026
78	39.10753684599795
79	39.16745013883387
80	39.265007877302665
81	39.27091295843081
82	39.24674485474596
83	39.23304810204801
84	39.209634980961425
85	39.200396999166095
86	39.15952704356544
87	39.0079919465636
88	39.04165070330624
89	39.04822113044084
90	39.02861085258797
91	38.981113418543664
92	38.94086030992393
93	38.87960268472418
94	38.84975694735009
95	38.84910621600535
96	38.825734124228305
97	38.5994838967538
98	38.64426008078768
99	38.715114991947324
100	37.48968751579872
avg	39.33360320527196
